cbi,ccode,date,adv,mp,mps,yield10y_2day,yield2y_2day,tp10y_2day,tp2y_2day,ex_rate_regime,us_integ,kaopen,vuln_index,trade_open,fin_depth,dollar_exp,dollar_debt,mpu_level,mpu,us_yield,vix
-0.0039,44,14684,1,-0.0383,-0.0422,0.10983127760563519,0.09125292338882114,-0.043374571259816454,-0.4397307260168142,1,5.00829,2.36,NA,117.252,157.911,189.17064,41.67534,0.10297278676470534,-1.2512131,3.865,18
0.0197,44,14727,1,-0.0438,-0.0241,-0.38441203345293196,-0.6083523359101506,-0.06645511497296128,-0.24990607347908314,1,5.00829,2.36,NA,117.252,157.911,189.17064,41.67534,0.20968962676470526,-1.4570053,4.069,22.81
-0.0086,44,14783,1,0.0466,0.038000000000000006,-0.6040760054980027,-0.6843963512834981,-0.13728416864242804,-0.2691577917889725,1,5.00829,2.36,NA,117.252,157.911,189.17064,41.67534,-0.00936993323529467,0.2527348,3.316,27.05
-0.0802,44,14831,1,0.0415,-0.03869999999999999,-1.3729000540985201,-0.07604386784786912,-1.2790203138410914,-0.8440471670447011,1,5.00829,2.36,NA,117.252,157.911,189.17064,41.67534,-0.1550524732352947,-1.0294914,2.969,22.14
-0.0229,44,14873,1,-0.0176,-0.0405,-2.269864034338953,-0.5627260513984021,-0.7080080625561656,-0.3563948384748396,1,5.00829,2.36,NA,117.252,157.911,189.17064,41.67534,-0.1621794732352947,-1.6284477,2.745,21.5
0.0343,44,14916,1,-0.0529,-0.018600000000000005,-0.6406880343047017,-0.5931435237101937,-0.07331196936422497,-0.459767205458067,1,5.00829,2.36,NA,117.252,157.911,189.17064,41.67534,-0.25916097323529463,-1.6348574,2.779,21.57
0.0332,44,14957,1,0.0231,0.0563,0.7322138503284444,0.44105576672211844,0.7628735506807632,0.7327560606636805,1,5.00829,2.36,NA,117.252,157.911,189.17064,41.67534,-0.04277863323529463,1.888062,3.819,17.55
-0.0063,44,15000,1,-0.0105,-0.016800000000000002,-0.45763325373766006,0.12167039113796912,-0.19794266672373811,0.19394663151739827,1,4.91997,2.36,NA,122.496,159.965,187.156099999999,48.1416,-0.11960151323529467,-0.22127427,3.745,17.59
-0.0653,44,15048,1,0.0637,-0.0015999999999999903,-0.5674663380809709,-1.0798255141088118,0.13071443377440142,0.016484684249513545,1,4.91997,2.36,NA,122.496,159.965,187.156099999999,48.1416,-0.1876882732352947,-0.046896692,3.582,21.13
0.0193,44,15091,1,-0.0338,-0.014499999999999996,-0.4576338761194328,0.3193851018255297,0.02166375072492443,0.18431316036373546,1,4.91997,2.36,NA,122.496,159.965,187.156099999999,48.1416,-0.15821737323529472,-0.8135971,3.706,15.62
-0.0232,44,15147,1,0.0231,-9.99999999999994e-5,-0.7688244696234815,-0.36501129508440494,-0.4174631850267044,-0.59090941134246,1,4.91997,2.36,NA,122.496,159.965,187.156099999999,48.1416,-0.2685810732352947,-0.4745736,3.328,18.86
-0.0342,44,15195,1,-7e-4,-0.0349,-0.5674651116227716,-0.07604403818656577,-0.4313969405313683,-0.5089722759357472,1,4.91997,2.36,NA,122.496,159.965,187.156099999999,48.1416,-0.23764787323529468,-4.0155606,2.545,48
-0.0977,44,15238,1,0.1467,0.049,-0.8603515121054235,0.0608352442371836,-0.5587406175972559,-0.21257864819087458,1,4.91997,2.36,NA,122.496,159.965,187.156099999999,48.1416,-0.2907208732352947,0.7332144,1.99,32.86
0.0642,44,15280,1,-0.0666,-0.0024000000000000132,-1.2081520293013517,-0.015208810679075594,-0.7049650690324023,-0.40623853277630434,1,4.91997,2.36,NA,122.496,159.965,187.156099999999,48.1416,-0.1878316032352947,-0.9151012,2.125,34.77
-0.0157,44,15321,1,0.0508,0.0351,0.27458037692662923,0.18250574639948178,0.0921056551086957,0.15342005631643316,1,4.91997,2.36,NA,122.496,159.965,187.156099999999,48.1416,-0.14581827323529462,0.7285767,2.188,25.67
-0.007,44,15364,1,-0.0256,-0.032600000000000004,-0.805434759422286,-0.09125286711621601,-0.37610319057776204,-0.08916501372119218,3,7.63872,2.36,NA,123.682,166.693,202.50761,39.81551,-0.31506302323529467,-1.0916317,2.172,18.91
0.0445,44,15412,1,-0.0274,0.017099999999999997,2.837329036129647,1.5208811287428081,0.5309760631599358,0.2189928123364629,3,7.63872,2.36,NA,123.682,166.693,202.50761,39.81551,-0.36433237323529466,1.2505405,2.287,15.64
